site,MAF_1pc,MAF_0.5pc,MAF_0.1pc,multiallelic
41,FALSE,FALSE,TRUE,FALSE
55,FALSE,FALSE,TRUE,FALSE
56,FALSE,FALSE,TRUE,FALSE
57,FALSE,FALSE,TRUE,TRUE
58,FALSE,FALSE,TRUE,FALSE
59,FALSE,FALSE,TRUE,FALSE
60,FALSE,FALSE,TRUE,FALSE
61,FALSE,FALSE,TRUE,FALSE
62,FALSE,FALSE,TRUE,TRUE
63,FALSE,FALSE,TRUE,TRUE
64,TRUE,TRUE,TRUE,FALSE
66,FALSE,FALSE,TRUE,FALSE
70,FALSE,FALSE,TRUE,FALSE
72,TRUE,TRUE,TRUE,TRUE
73,TRUE,TRUE,TRUE,FALSE
89,FALSE,FALSE,TRUE,FALSE
92,FALSE,FALSE,TRUE,FALSE
93,TRUE,TRUE,TRUE,FALSE
94,FALSE,FALSE,TRUE,FALSE
95,FALSE,TRUE,TRUE,FALSE
103,FALSE,FALSE,TRUE,FALSE
114,FALSE,FALSE,TRUE,FALSE
119,FALSE,FALSE,TRUE,FALSE
125,FALSE,FALSE,TRUE,FALSE
127,FALSE,FALSE,TRUE,FALSE
128,FALSE,FALSE,TRUE,FALSE
131,FALSE,FALSE,TRUE,FALSE
143,TRUE,TRUE,TRUE,FALSE
146,TRUE,TRUE,TRUE,FALSE
150,TRUE,TRUE,TRUE,FALSE
151,TRUE,TRUE,TRUE,FALSE
152,TRUE,TRUE,TRUE,FALSE
153,TRUE,TRUE,TRUE,FALSE
182,TRUE,TRUE,TRUE,FALSE
183,FALSE,TRUE,TRUE,FALSE
185,TRUE,TRUE,TRUE,TRUE
186,TRUE,TRUE,TRUE,TRUE
188,TRUE,TRUE,TRUE,FALSE
189,TRUE,TRUE,TRUE,TRUE
194,TRUE,TRUE,TRUE,FALSE
195,TRUE,TRUE,TRUE,TRUE
196,FALSE,FALSE,TRUE,FALSE
198,TRUE,TRUE,TRUE,FALSE
199,TRUE,TRUE,TRUE,FALSE
200,TRUE,TRUE,TRUE,FALSE
203,FALSE,FALSE,TRUE,FALSE
204,TRUE,TRUE,TRUE,FALSE
207,TRUE,TRUE,TRUE,FALSE
210,FALSE,TRUE,TRUE,FALSE
212,FALSE,FALSE,TRUE,FALSE
214,FALSE,FALSE,TRUE,FALSE
215,FALSE,TRUE,TRUE,FALSE
217,FALSE,TRUE,TRUE,FALSE
225,FALSE,TRUE,TRUE,FALSE
226,FALSE,FALSE,TRUE,FALSE
227,FALSE,FALSE,TRUE,FALSE
228,TRUE,TRUE,TRUE,TRUE
234,FALSE,TRUE,TRUE,FALSE
235,TRUE,TRUE,TRUE,FALSE
236,TRUE,TRUE,TRUE,FALSE
239,TRUE,TRUE,TRUE,FALSE
240,FALSE,FALSE,TRUE,FALSE
242,FALSE,FALSE,TRUE,FALSE
